league,season,game,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,Win / Tie,team_home,players_used_home,Age_home,IDK what this is_home,MP_home,Starts_home,Min_home,90s_home,Gls_home,Ast_home,G+A_home,G-PK_home,PK_home,PKatt_home,CrdY_home,CrdR_home,xG_home,npxG_home,xAG_home,npxG+xAG_home,PrgC_home,PrgP_home,Gls.1_home,Ast.1_home,G+A.1_home,G-PK.1_home,G+A-PK_home,xG.1_home,xAG.1_home,xG+xAG_home,npxG.1_home,npxG+xAG.1_home,team_away,players_used_away,Age_away,IDK what this is_away,MP_away,Starts_away,Min_away,90s_away,Gls_away,Ast_away,G+A_away,G-PK_away,PK_away,PKatt_away,CrdY_away,CrdR_away,xG_away,npxG_away,xAG_away,npxG+xAG_away,PrgC_away,PrgP_away,Gls.1_away,Ast.1_away,G+A.1_away,G-PK.1_away,G+A-PK_away,xG.1_away,xAG.1_away,xG+xAG_away,npxG.1_away,npxG+xAG.1_away,team_home_shots,No of players_home_shots,90s played_home_shots,Gls_home_shots,Sh_home_shots,SoT_home_shots,SoT%_home_shots,Sh/90_home_shots,SoT/90_home_shots,G/Sh_home_shots,G/SoT_home_shots,Dist_home_shots,FK_home_shots,PK_home_shots,PKatt_home_shots,xG_home_shots,npxG_home_shots,npxG/Sh_home_shots,G-xG_home_shots,np:G-xG_home_shots,team_away_shots,No of players_away_shots,90s played_away_shots,Gls_away_shots,Sh_away_shots,SoT_away_shots,SoT%_away_shots,Sh/90_away_shots,SoT/90_away_shots,G/Sh_away_shots,G/SoT_away_shots,Dist_away_shots,FK_away_shots,PK_away_shots,PKatt_away_shots,xG_away_shots,npxG_away_shots,npxG/Sh_away_shots,G-xG_away_shots,np:G-xG_away_shots
ENG-Premier League,2223,2023-04-27 Tottenham-Manchester Utd,2023-04-27,20:15,Tottenham Hotspur,2.5,2:02,2,Manchester United,61586,Tottenham Hotspur Stadium,Anthony Taylor,tie,Tottenham Hotspur,26,26.8,51.8,38,418,3420,38,61.66666667,46.33333333,108,57.33333333,4.333333333,4.666666667,70,2,54.06666667,50.4,38.3,88.7,730.6666667,1399.666667,1.623333333,1.223333333,2.84,1.51,2.726666667,1.423333333,1.01,2.433333333,1.326666667,2.333333333,Manchester United,29,25.86666667,54.73333333,38,418,3420,38,63.66666667,46.66666667,110.3333333,56,7.666666667,10,71.33333333,1,59.36666667,51.5,40.86666667,92.36666667,862.3333333,1729.333333,1.673333333,1.226666667,2.9,1.473333333,2.703333333,1.563333333,1.076666667,2.64,1.353333333,2.43,Tottenham Hotspur,26,38,61.66666667,454.6666667,168.6666667,37.06666667,11.96666667,4.436666667,0.126666667,0.34,17.7,24,4.333333333,4.666666667,54.06666667,50.4,0.113333333,7.6,6.933333333,Manchester United,29,38,63.66666667,516,192,37.2,13.58,5.053333333,0.11,0.293333333,18.3,24.33333333,7.666666667,10,59.36666667,51.5,0.103333333,4.3,4.5
ENG-Premier League,2223,2023-04-29 Brentford-Nott'ham Forest,2023-04-29,15:00,Brentford,1.6,2:01,0.7,Nott'ham Forest,17080,Brentford Community Stadium,Peter Bankes,home_win,Brentford,29,25.4,44.8,38,418,3420,38,46,33,79,40,6,6,65,3,45.8,41.1,33,74.1,450,1189,1.21,0.87,2.08,1.05,1.92,1.21,0.87,2.07,1.08,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brentford,29,38,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,11,6,6,45.8,41.1,0.1,0.2,-1.1,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,2023-04-29 Brighton-Wolves,2023-04-29,15:00,Brighton and Hove Albion,3.3,6:00,0.8,Wolverhampton Wanderers,31584,The American Express Community Stadium,David Coote,home_win,Brighton and Hove Albion,26,26.13333333,52.56666667,38,418,3420,38,38,26,64,34.33333333,3.666666667,6,60,3.333333333,47.5,42.76666667,32.36666667,75.1,676.6666667,1579.333333,1,0.683333333,1.683333333,0.903333333,1.59,1.25,0.85,2.1,1.123333333,1.98,Wolverhampton Wanderers,24.66666667,26.73333333,49.03333333,38,418,3420,38,39.33333333,25.66666667,65,36.33333333,3,3,59.33333333,1.666666667,42.7,40.4,29.33333333,69.76666667,793.6666667,1301.333333,1.033333333,0.673333333,1.71,0.953333333,1.63,1.123333333,0.77,1.896666667,1.063333333,1.833333333,Brighton and Hove Albion,26,38,38,473.3333333,138,29.16666667,12.45666667,3.633333333,0.07,0.25,17.56666667,13.66666667,3.666666667,6,47.5,42.76666667,0.093333333,-9.5,-8.433333333,Wolverhampton Wanderers,24.66666667,38,39.33333333,439,141.3333333,32.26666667,11.55333333,3.72,0.083333333,0.26,18.16666667,14.66666667,3,3,42.7,40.4,0.093333333,-3.366666667,-4.066666667
ENG-Premier League,2223,2023-04-29 Crystal Palace-West Ham,2023-04-29,12:30,Crystal Palace,2.1,4:03,1.7,West Ham United,25148,Selhurst Park,Craig Pawson,home_win,Crystal Palace,24.33333333,28.53333333,45.5,38,418,3420,38,39.33333333,26.66666667,66,35.33333333,4,5,62.33333333,1.666666667,38.76666667,34.9,26.86666667,61.73333333,571.3333333,1194.666667,1.036666667,0.703333333,1.736666667,0.93,1.63,1.02,0.706666667,1.73,0.92,1.626666667,West Ham United,26,27.8,45.06666667,38,418,3420,38,55.66666667,42.66666667,98.33333333,52.33333333,3.333333333,4.666666667,55.33333333,2.333333333,51.8,48.1,37.9,86.03333333,656.6666667,1369.333333,1.466666667,1.123333333,2.59,1.376666667,2.5,1.363333333,1,2.36,1.266666667,2.263333333,Crystal Palace,24.33333333,38,39.33333333,374,127.3333333,34.1,9.843333333,3.35,0.093333333,0.273333333,16.9,15.33333333,4,5,38.76666667,34.9,0.093333333,0.566666667,0.433333333,West Ham United,26,38,55.66666667,440,152,34.66666667,11.58,4.003333333,0.12,0.346666667,16.36666667,14.33333333,3.333333333,4.666666667,51.8,48.1,0.113333333,3.866666667,4.233333333
ENG-Premier League,2223,2023-04-30 Bournemouth-Leeds United,2023-04-30,14:00,Bournemouth,1.9,4:01,1.6,Leeds United,10434,Vitality Stadium,Chris Kavanagh,home_win,Bournemouth,27,25.2,44.1,38,418,3420,38,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256,1,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9,Leeds United,26,26.1,54.8,38,418,3420,38,51,35.5,86.5,46.5,4.5,4.5,81,2,50,46.45,36.6,83.05,741,1558,1.345,0.93,2.275,1.22,2.16,1.315,0.96,2.28,1.22,2.185,Bournemouth,27,38,38,385,117,30.4,10.13,3.08,0.09,0.29,17.3,21,4,4,44.8,41.7,0.11,-6.8,-7.7,Leeds United,26,38,51,499,167.5,33.45,13.13,4.41,0.095,0.275,17.6,11,4.5,4.5,50,46.45,0.095,1,0.05
ENG-Premier League,2223,2023-04-30 Fulham-Manchester City,2023-04-30,14:00,Fulham,0.2,1:02,2.5,Manchester City,24498,Craven Cottage,Simon Hooper,away_win,Fulham,28,25.2,49.7,38,418,3420,38,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64,Manchester City,24.66666667,26.66666667,65.86666667,38,418,3420,38,92.66666667,62.33333333,155,86.66666667,6,9.666666667,50.66666667,2.333333333,82.96666667,75.4,59.76666667,135.1666667,1146.666667,2310.666667,2.44,1.643333333,4.08,2.28,3.92,2.183333333,1.57,3.756666667,1.983333333,3.56,Fulham,28,38,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9,Manchester City,24.66666667,38,92.66666667,676.3333333,232.6666667,34.5,17.8,6.123333333,0.13,0.373333333,16.63333333,21.66666667,6,9.666666667,82.96666667,75.4,0.116666667,9.7,11.26666667
ENG-Premier League,2223,2023-04-30 Liverpool-Tottenham,2023-04-30,16:30,Liverpool,2.2,4:03,2,Tottenham Hotspur,53275,Anfield,Paul Tierney,home_win,Liverpool,26.33333333,27.03333333,62.56666667,38,418,3420,38,80.66666667,61,141.6666667,74.66666667,6,6.333333333,42.66666667,0.666666667,75.03333333,70.2,54.93333333,125.1333333,912.6666667,2080.333333,2.12,1.606666667,3.726666667,1.963333333,3.57,1.973333333,1.443333333,3.42,1.85,3.293333333,Tottenham Hotspur,26,26.8,51.8,38,418,3420,38,61.66666667,46.33333333,108,57.33333333,4.333333333,4.666666667,70,2,54.06666667,50.4,38.3,88.7,730.6666667,1399.666667,1.623333333,1.223333333,2.84,1.51,2.726666667,1.423333333,1.01,2.433333333,1.326666667,2.333333333,Liverpool,26.33333333,38,80.66666667,636.3333333,221.6666667,35,16.74333333,5.833333333,0.116666667,0.336666667,16.76666667,18.33333333,6,6.333333333,75.03333333,70.2,0.113333333,5.633333333,4.466666667,Tottenham Hotspur,26,38,61.66666667,454.6666667,168.6666667,37.06666667,11.96666667,4.436666667,0.126666667,0.34,17.7,24,4.333333333,4.666666667,54.06666667,50.4,0.113333333,7.6,6.933333333
ENG-Premier League,2223,2023-04-30 Manchester Utd-Aston Villa,2023-04-30,14:00,Manchester United,1.2,1:00,0.6,Aston Villa,73592,Old Trafford,Jarred Gillett,home_win,Manchester United,29,25.86666667,54.73333333,38,418,3420,38,63.66666667,46.66666667,110.3333333,56,7.666666667,10,71.33333333,1,59.36666667,51.5,40.86666667,92.36666667,862.3333333,1729.333333,1.673333333,1.226666667,2.9,1.473333333,2.703333333,1.563333333,1.076666667,2.64,1.353333333,2.43,Aston Villa,27.66666667,25.66666667,46.36666667,38,418,3420,38,47.33333333,37.33333333,84.66666667,44.33333333,3,4,74,2.333333333,46.93333333,43.9,35.46666667,79.36666667,640.3333333,1322.333333,1.246666667,0.983333333,2.226666667,1.17,2.15,1.233333333,0.933333333,2.17,1.153333333,2.09,Manchester United,29,38,63.66666667,516,192,37.2,13.58,5.053333333,0.11,0.293333333,18.3,24.33333333,7.666666667,10,59.36666667,51.5,0.103333333,4.3,4.5,Aston Villa,27.66666667,38,47.33333333,476,161.3333333,33.86666667,12.52666667,4.243333333,0.093333333,0.276666667,17.46666667,19,3,4,46.93333333,43.9,0.093333333,0.4,0.433333333
ENG-Premier League,2223,2023-04-30 Newcastle Utd-Southampton,2023-04-30,14:00,Newcastle United,4.3,3:01,0.8,Southampton,52234,St James' Park,Anthony Taylor,home_win,Newcastle United,28,27.03333333,39.4,38,418,3420,38,41,26,67,38,3,3.666666667,70.66666667,2.666666667,39,36.16666667,27.23333333,63.4,516,890,1.08,0.683333333,1.76,1,1.683333333,1.026666667,0.716666667,1.743333333,0.95,1.666666667,Southampton,26.33333333,26.06666667,49.53333333,38,418,3420,38,46.33333333,30.33333333,76.66666667,42.66666667,3.666666667,5,57.33333333,3,47.36666667,43.43333333,31.56666667,75.03333333,660.6666667,1285.333333,1.22,0.796666667,2.016666667,1.123333333,1.92,1.25,0.83,2.076666667,1.143333333,1.973333333,Newcastle United,28,38,41,411.3333333,134.6666667,32.76666667,10.82333333,3.543333333,0.096666667,0.283333333,18.5,18,3,3.666666667,39,36.16666667,0.09,2,1.833333333,Southampton,26.33333333,38,46.33333333,463.3333333,163,35.3,12.19333333,4.29,0.093333333,0.263333333,18.03333333,23.66666667,3.666666667,5,47.36666667,43.43333333,0.096666667,-1.033333333,-0.766666667
ENG-Premier League,2223,2023-05-01 Leicester City-Everton,2023-05-01,20:00,Leicester City,3.4,2:02,3.1,Everton,32173,King Power Stadium,Michael Oliver,tie,Leicester City,26.33333333,26.36666667,54.46666667,38,418,3420,38,63.66666667,46.33333333,110,58,5.666666667,7,53,1.333333333,55.26666667,49.73333333,37.6,87.36666667,675.6666667,1477.333333,1.673333333,1.216666667,2.893333333,1.526666667,2.746666667,1.456666667,0.99,2.446666667,1.31,2.3,Everton,28.66666667,26.16666667,45.13333333,38,418,3420,38,43,31,74,39.33333333,3.666666667,4.333333333,72.33333333,3.666666667,45.9,42.56666667,32.43333333,75,579.6666667,1238,1.133333333,0.813333333,1.95,1.036666667,1.85,1.21,0.853333333,2.06,1.12,1.973333333,Leicester City,26.33333333,38,63.66666667,479.6666667,172.3333333,36.03333333,12.62333333,4.536666667,0.12,0.34,17.93333333,18,5.666666667,7,55.26666667,49.73333333,0.106666667,8.4,8.266666667,Everton,28.66666667,38,43,431,144,33.46666667,11.34333333,3.786666667,0.09,0.276666667,17.1,17.66666667,3.666666667,4.333333333,45.9,42.56666667,0.1,-2.9,-3.233333333
ENG-Premier League,2223,2023-05-02 Arsenal-Chelsea,2023-05-02,20:00,Arsenal,1.7,3:01,0.8,Chelsea,60144,Emirates Stadium,Robert Jones,home_win,Arsenal,28.33333333,25.36666667,53.36666667,38,418,3420,38,56.33333333,38,94.33333333,51.66666667,4.666666667,5.666666667,68,4.666666667,53.1,48.9,35.56666667,84.53333333,769,1685.333333,1.48,1,2.48,1.36,2.363333333,1.396666667,0.936666667,2.333333333,1.286666667,2.223333333,Chelsea,26.66666667,26.3,61.03333333,38,418,3420,38,66.66666667,45.33333333,112,59,7.666666667,8.666666667,58,1.333333333,65,58.5,44.36666667,102.8666667,924,1887.333333,1.753333333,1.193333333,2.946666667,1.55,2.743333333,1.71,1.166666667,2.876666667,1.54,2.706666667,Arsenal,28.33333333,38,56.33333333,479,157.3333333,33.03333333,12.60666667,4.136666667,0.106666667,0.333333333,17.3,21,4.666666667,5.666666667,53.1,48.9,0.106666667,3.233333333,2.766666667,Chelsea,26.66666667,38,66.66666667,582.3333333,201,34.53333333,15.32333333,5.29,0.1,0.296666667,17.03333333,23.66666667,7.666666667,8.666666667,65,58.5,0.103333333,1.666666667,0.5
ENG-Premier League,2223,2023-05-03 Liverpool-Fulham,2023-05-03,20:00,Liverpool,1.8,1:00,0.9,Fulham,52602,Anfield,Stuart Attwell,home_win,Liverpool,26.33333333,27.03333333,62.56666667,38,418,3420,38,80.66666667,61,141.6666667,74.66666667,6,6.333333333,42.66666667,0.666666667,75.03333333,70.2,54.93333333,125.1333333,912.6666667,2080.333333,2.12,1.606666667,3.726666667,1.963333333,3.57,1.973333333,1.443333333,3.42,1.85,3.293333333,Fulham,28,25.2,49.7,38,418,3420,38,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64,Liverpool,26.33333333,38,80.66666667,636.3333333,221.6666667,35,16.74333333,5.833333333,0.116666667,0.336666667,16.76666667,18.33333333,6,6.333333333,75.03333333,70.2,0.113333333,5.633333333,4.466666667,Fulham,28,38,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9
ENG-Premier League,2223,2023-05-03 Manchester City-West Ham,2023-05-03,20:00,Manchester City,2.3,3:00,0.4,West Ham United,53305,Etihad Stadium,John Brooks,home_win,Manchester City,24.66666667,26.66666667,65.86666667,38,418,3420,38,92.66666667,62.33333333,155,86.66666667,6,9.666666667,50.66666667,2.333333333,82.96666667,75.4,59.76666667,135.1666667,1146.666667,2310.666667,2.44,1.643333333,4.08,2.28,3.92,2.183333333,1.57,3.756666667,1.983333333,3.56,West Ham United,26,27.8,45.06666667,38,418,3420,38,55.66666667,42.66666667,98.33333333,52.33333333,3.333333333,4.666666667,55.33333333,2.333333333,51.8,48.1,37.9,86.03333333,656.6666667,1369.333333,1.466666667,1.123333333,2.59,1.376666667,2.5,1.363333333,1,2.36,1.266666667,2.263333333,Manchester City,24.66666667,38,92.66666667,676.3333333,232.6666667,34.5,17.8,6.123333333,0.13,0.373333333,16.63333333,21.66666667,6,9.666666667,82.96666667,75.4,0.116666667,9.7,11.26666667,West Ham United,26,38,55.66666667,440,152,34.66666667,11.58,4.003333333,0.12,0.346666667,16.36666667,14.33333333,3.333333333,4.666666667,51.8,48.1,0.113333333,3.866666667,4.233333333
ENG-Premier League,2223,2023-05-04 Brighton-Manchester Utd,2023-05-04,20:00,Brighton and Hove Albion,2.3,1:00,1.4,Manchester United,31577,The American Express Community Stadium,Andre Marriner,home_win,Brighton and Hove Albion,26,26.13333333,52.56666667,38,418,3420,38,38,26,64,34.33333333,3.666666667,6,60,3.333333333,47.5,42.76666667,32.36666667,75.1,676.6666667,1579.333333,1,0.683333333,1.683333333,0.903333333,1.59,1.25,0.85,2.1,1.123333333,1.98,Manchester United,29,25.86666667,54.73333333,38,418,3420,38,63.66666667,46.66666667,110.3333333,56,7.666666667,10,71.33333333,1,59.36666667,51.5,40.86666667,92.36666667,862.3333333,1729.333333,1.673333333,1.226666667,2.9,1.473333333,2.703333333,1.563333333,1.076666667,2.64,1.353333333,2.43,Brighton and Hove Albion,26,38,38,473.3333333,138,29.16666667,12.45666667,3.633333333,0.07,0.25,17.56666667,13.66666667,3.666666667,6,47.5,42.76666667,0.093333333,-9.5,-8.433333333,Manchester United,29,38,63.66666667,516,192,37.2,13.58,5.053333333,0.11,0.293333333,18.3,24.33333333,7.666666667,10,59.36666667,51.5,0.103333333,4.3,4.5
ENG-Premier League,2223,2023-05-06 Bournemouth-Chelsea,2023-05-06,15:00,Bournemouth,1.2,1:03,1.3,Chelsea,10357,Vitality Stadium,John Brooks,away_win,Bournemouth,27,25.2,44.1,38,418,3420,38,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256,1,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9,Chelsea,26.66666667,26.3,61.03333333,38,418,3420,38,66.66666667,45.33333333,112,59,7.666666667,8.666666667,58,1.333333333,65,58.5,44.36666667,102.8666667,924,1887.333333,1.753333333,1.193333333,2.946666667,1.55,2.743333333,1.71,1.166666667,2.876666667,1.54,2.706666667,Bournemouth,27,38,38,385,117,30.4,10.13,3.08,0.09,0.29,17.3,21,4,4,44.8,41.7,0.11,-6.8,-7.7,Chelsea,26.66666667,38,66.66666667,582.3333333,201,34.53333333,15.32333333,5.29,0.1,0.296666667,17.03333333,23.66666667,7.666666667,8.666666667,65,58.5,0.103333333,1.666666667,0.5
ENG-Premier League,2223,2023-05-06 Liverpool-Brentford,2023-05-06,17:30,Liverpool,2.2,1:00,0.2,Brentford,52838,Anfield,Anthony Taylor,home_win,Liverpool,26.33333333,27.03333333,62.56666667,38,418,3420,38,80.66666667,61,141.6666667,74.66666667,6,6.333333333,42.66666667,0.666666667,75.03333333,70.2,54.93333333,125.1333333,912.6666667,2080.333333,2.12,1.606666667,3.726666667,1.963333333,3.57,1.973333333,1.443333333,3.42,1.85,3.293333333,Brentford,29,25.4,44.8,38,418,3420,38,46,33,79,40,6,6,65,3,45.8,41.1,33,74.1,450,1189,1.21,0.87,2.08,1.05,1.92,1.21,0.87,2.07,1.08,1.95,Liverpool,26.33333333,38,80.66666667,636.3333333,221.6666667,35,16.74333333,5.833333333,0.116666667,0.336666667,16.76666667,18.33333333,6,6.333333333,75.03333333,70.2,0.113333333,5.633333333,4.466666667,Brentford,29,38,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,11,6,6,45.8,41.1,0.1,0.2,-1.1
ENG-Premier League,2223,2023-05-06 Manchester City-Leeds United,2023-05-06,15:00,Manchester City,2.6,2:01,0.2,Leeds United,53406,Etihad Stadium,Andy Madley,home_win,Manchester City,24.66666667,26.66666667,65.86666667,38,418,3420,38,92.66666667,62.33333333,155,86.66666667,6,9.666666667,50.66666667,2.333333333,82.96666667,75.4,59.76666667,135.1666667,1146.666667,2310.666667,2.44,1.643333333,4.08,2.28,3.92,2.183333333,1.57,3.756666667,1.983333333,3.56,Leeds United,26,26.1,54.8,38,418,3420,38,51,35.5,86.5,46.5,4.5,4.5,81,2,50,46.45,36.6,83.05,741,1558,1.345,0.93,2.275,1.22,2.16,1.315,0.96,2.28,1.22,2.185,Manchester City,24.66666667,38,92.66666667,676.3333333,232.6666667,34.5,17.8,6.123333333,0.13,0.373333333,16.63333333,21.66666667,6,9.666666667,82.96666667,75.4,0.116666667,9.7,11.26666667,Leeds United,26,38,51,499,167.5,33.45,13.13,4.41,0.095,0.275,17.6,11,4.5,4.5,50,46.45,0.095,1,0.05
ENG-Premier League,2223,2023-05-06 Tottenham-Crystal Palace,2023-05-06,15:00,Tottenham Hotspur,0.9,1:00,0.4,Crystal Palace,61093,Tottenham Hotspur Stadium,Darren England,home_win,Tottenham Hotspur,26,26.8,51.8,38,418,3420,38,61.66666667,46.33333333,108,57.33333333,4.333333333,4.666666667,70,2,54.06666667,50.4,38.3,88.7,730.6666667,1399.666667,1.623333333,1.223333333,2.84,1.51,2.726666667,1.423333333,1.01,2.433333333,1.326666667,2.333333333,Crystal Palace,24.33333333,28.53333333,45.5,38,418,3420,38,39.33333333,26.66666667,66,35.33333333,4,5,62.33333333,1.666666667,38.76666667,34.9,26.86666667,61.73333333,571.3333333,1194.666667,1.036666667,0.703333333,1.736666667,0.93,1.63,1.02,0.706666667,1.73,0.92,1.626666667,Tottenham Hotspur,26,38,61.66666667,454.6666667,168.6666667,37.06666667,11.96666667,4.436666667,0.126666667,0.34,17.7,24,4.333333333,4.666666667,54.06666667,50.4,0.113333333,7.6,6.933333333,Crystal Palace,24.33333333,38,39.33333333,374,127.3333333,34.1,9.843333333,3.35,0.093333333,0.273333333,16.9,15.33333333,4,5,38.76666667,34.9,0.093333333,0.566666667,0.433333333
ENG-Premier League,2223,2023-05-06 Wolves-Aston Villa,2023-05-06,15:00,Wolverhampton Wanderers,0.8,1:00,1.5,Aston Villa,31641,Molineux Stadium,Stuart Attwell,home_win,Wolverhampton Wanderers,24.66666667,26.73333333,49.03333333,38,418,3420,38,39.33333333,25.66666667,65,36.33333333,3,3,59.33333333,1.666666667,42.7,40.4,29.33333333,69.76666667,793.6666667,1301.333333,1.033333333,0.673333333,1.71,0.953333333,1.63,1.123333333,0.77,1.896666667,1.063333333,1.833333333,Aston Villa,27.66666667,25.66666667,46.36666667,38,418,3420,38,47.33333333,37.33333333,84.66666667,44.33333333,3,4,74,2.333333333,46.93333333,43.9,35.46666667,79.36666667,640.3333333,1322.333333,1.246666667,0.983333333,2.226666667,1.17,2.15,1.233333333,0.933333333,2.17,1.153333333,2.09,Wolverhampton Wanderers,24.66666667,38,39.33333333,439,141.3333333,32.26666667,11.55333333,3.72,0.083333333,0.26,18.16666667,14.66666667,3,3,42.7,40.4,0.093333333,-3.366666667,-4.066666667,Aston Villa,27.66666667,38,47.33333333,476,161.3333333,33.86666667,12.52666667,4.243333333,0.093333333,0.276666667,17.46666667,19,3,4,46.93333333,43.9,0.093333333,0.4,0.433333333
ENG-Premier League,2223,2023-05-07 Newcastle Utd-Arsenal,2023-05-07,16:30,Newcastle United,1.3,0:02,1.3,Arsenal,50267,St James' Park,Chris Kavanagh,away_win,Newcastle United,28,27.03333333,39.4,38,418,3420,38,41,26,67,38,3,3.666666667,70.66666667,2.666666667,39,36.16666667,27.23333333,63.4,516,890,1.08,0.683333333,1.76,1,1.683333333,1.026666667,0.716666667,1.743333333,0.95,1.666666667,Arsenal,28.33333333,25.36666667,53.36666667,38,418,3420,38,56.33333333,38,94.33333333,51.66666667,4.666666667,5.666666667,68,4.666666667,53.1,48.9,35.56666667,84.53333333,769,1685.333333,1.48,1,2.48,1.36,2.363333333,1.396666667,0.936666667,2.333333333,1.286666667,2.223333333,Newcastle United,28,38,41,411.3333333,134.6666667,32.76666667,10.82333333,3.543333333,0.096666667,0.283333333,18.5,18,3,3.666666667,39,36.16666667,0.09,2,1.833333333,Arsenal,28.33333333,38,56.33333333,479,157.3333333,33.03333333,12.60666667,4.136666667,0.106666667,0.333333333,17.3,21,4.666666667,5.666666667,53.1,48.9,0.106666667,3.233333333,2.766666667
ENG-Premier League,2223,2023-05-07 West Ham-Manchester Utd,2023-05-07,19:00,West Ham United,1.3,1:00,1.2,Manchester United,62477,London Stadium,Peter Bankes,home_win,West Ham United,26,27.8,45.06666667,38,418,3420,38,55.66666667,42.66666667,98.33333333,52.33333333,3.333333333,4.666666667,55.33333333,2.333333333,51.8,48.1,37.9,86.03333333,656.6666667,1369.333333,1.466666667,1.123333333,2.59,1.376666667,2.5,1.363333333,1,2.36,1.266666667,2.263333333,Manchester United,29,25.86666667,54.73333333,38,418,3420,38,63.66666667,46.66666667,110.3333333,56,7.666666667,10,71.33333333,1,59.36666667,51.5,40.86666667,92.36666667,862.3333333,1729.333333,1.673333333,1.226666667,2.9,1.473333333,2.703333333,1.563333333,1.076666667,2.64,1.353333333,2.43,West Ham United,26,38,55.66666667,440,152,34.66666667,11.58,4.003333333,0.12,0.346666667,16.36666667,14.33333333,3.333333333,4.666666667,51.8,48.1,0.113333333,3.866666667,4.233333333,Manchester United,29,38,63.66666667,516,192,37.2,13.58,5.053333333,0.11,0.293333333,18.3,24.33333333,7.666666667,10,59.36666667,51.5,0.103333333,4.3,4.5
ENG-Premier League,2223,2023-05-08 Brighton-Everton,2023-05-08,17:30,Brighton and Hove Albion,3.2,1:05,2.3,Everton,31567,The American Express Community Stadium,Simon Hooper,away_win,Brighton and Hove Albion,26,26.13333333,52.56666667,38,418,3420,38,38,26,64,34.33333333,3.666666667,6,60,3.333333333,47.5,42.76666667,32.36666667,75.1,676.6666667,1579.333333,1,0.683333333,1.683333333,0.903333333,1.59,1.25,0.85,2.1,1.123333333,1.98,Everton,28.66666667,26.16666667,45.13333333,38,418,3420,38,43,31,74,39.33333333,3.666666667,4.333333333,72.33333333,3.666666667,45.9,42.56666667,32.43333333,75,579.6666667,1238,1.133333333,0.813333333,1.95,1.036666667,1.85,1.21,0.853333333,2.06,1.12,1.973333333,Brighton and Hove Albion,26,38,38,473.3333333,138,29.16666667,12.45666667,3.633333333,0.07,0.25,17.56666667,13.66666667,3.666666667,6,47.5,42.76666667,0.093333333,-9.5,-8.433333333,Everton,28.66666667,38,43,431,144,33.46666667,11.34333333,3.786666667,0.09,0.276666667,17.1,17.66666667,3.666666667,4.333333333,45.9,42.56666667,0.1,-2.9,-3.233333333
ENG-Premier League,2223,2023-05-08 Fulham-Leicester City,2023-05-08,15:00,Fulham,1.6,5:03,2.8,Leicester City,24442,Craven Cottage,Robert Jones,home_win,Fulham,28,25.2,49.7,38,418,3420,38,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64,Leicester City,26.33333333,26.36666667,54.46666667,38,418,3420,38,63.66666667,46.33333333,110,58,5.666666667,7,53,1.333333333,55.26666667,49.73333333,37.6,87.36666667,675.6666667,1477.333333,1.673333333,1.216666667,2.893333333,1.526666667,2.746666667,1.456666667,0.99,2.446666667,1.31,2.3,Fulham,28,38,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9,Leicester City,26.33333333,38,63.66666667,479.6666667,172.3333333,36.03333333,12.62333333,4.536666667,0.12,0.34,17.93333333,18,5.666666667,7,55.26666667,49.73333333,0.106666667,8.4,8.266666667
ENG-Premier League,2223,2023-05-08 Nott'ham Forest-Southampton,2023-05-08,20:00,Nott'ham Forest,1.8,4:03,3.1,Southampton,29154,The City Ground,Michael Oliver,home_win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southampton,26.33333333,26.06666667,49.53333333,38,418,3420,38,46.33333333,30.33333333,76.66666667,42.66666667,3.666666667,5,57.33333333,3,47.36666667,43.43333333,31.56666667,75.03333333,660.6666667,1285.333333,1.22,0.796666667,2.016666667,1.123333333,1.92,1.25,0.83,2.076666667,1.143333333,1.973333333,,,,,,,,,,,,,,,,,,,,,Southampton,26.33333333,38,46.33333333,463.3333333,163,35.3,12.19333333,4.29,0.093333333,0.263333333,18.03333333,23.66666667,3.666666667,5,47.36666667,43.43333333,0.096666667,-1.033333333,-0.766666667
